date,price_band,zip_code,mls_listings,mls_contracts,od_listings,od_contracts,od_home_visits
2017-01-07 0:00:00,<$200K,A,736,18,41,2,410
2017-01-07 0:00:00,<$200K,B,368,16,21,1,205
2017-01-07 0:00:00,<$200K,C,147,5,8,0,82
2017-01-07 0:00:00,<$200K,D,221,7,12,1,123
2017-01-08 0:00:00,<$200K,A,727,17,40,2,401
2017-01-08 0:00:00,<$200K,B,364,15,20,1,200
2017-01-08 0:00:00,<$200K,C,145,4,8,0,80
2017-01-08 0:00:00,<$200K,D,218,6,12,0,120
2017-01-09 0:00:00,<$200K,A,719,25,40,3,396
2017-01-09 0:00:00,<$200K,B,359,22,20,1,198
2017-01-09 0:00:00,<$200K,C,144,6,8,1,79
2017-01-09 0:00:00,<$200K,D,216,9,12,1,119
2017-01-10 0:00:00,<$200K,A,714,23,39,3,386
2017-01-10 0:00:00,<$200K,B,357,20,19,1,193
2017-01-10 0:00:00,<$200K,C,143,6,8,1,77
2017-01-10 0:00:00,<$200K,D,214,9,12,1,116
2017-01-11 0:00:00,<$200K,A,715,20,39,2,387
2017-01-11 0:00:00,<$200K,B,358,18,19,1,193
2017-01-11 0:00:00,<$200K,C,143,5,8,0,77
2017-01-11 0:00:00,<$200K,D,215,8,12,1,116
2017-01-12 0:00:00,<$200K,A,722,20,39,2,387
2017-01-12 0:00:00,<$200K,B,361,18,19,1,194
2017-01-12 0:00:00,<$200K,C,144,5,8,0,77
2017-01-12 0:00:00,<$200K,D,217,8,12,1,116
2017-01-13 0:00:00,<$200K,A,729,20,39,2,388
2017-01-13 0:00:00,<$200K,B,365,18,19,1,194
2017-01-13 0:00:00,<$200K,C,146,5,8,0,78
2017-01-13 0:00:00,<$200K,D,219,8,12,1,116
2017-01-14 0:00:00,<$200K,A,726,17,38,2,383
2017-01-14 0:00:00,<$200K,B,363,15,19,1,191
2017-01-14 0:00:00,<$200K,C,145,4,8,0,77
2017-01-14 0:00:00,<$200K,D,218,6,11,0,115
2017-01-15 0:00:00,<$200K,A,709,22,37,2,373
2017-01-15 0:00:00,<$200K,B,354,19,19,1,187
2017-01-15 0:00:00,<$200K,C,142,6,7,0,75
2017-01-15 0:00:00,<$200K,D,213,8,11,1,112
2017-01-16 0:00:00,<$200K,A,698,24,36,3,363
2017-01-16 0:00:00,<$200K,B,349,21,18,1,182
2017-01-16 0:00:00,<$200K,C,140,6,7,1,73
2017-01-16 0:00:00,<$200K,D,209,9,11,1,109
2017-01-17 0:00:00,<$200K,A,697,21,36,2,359
2017-01-17 0:00:00,<$200K,B,348,19,18,1,179
2017-01-17 0:00:00,<$200K,C,139,5,7,0,72
2017-01-17 0:00:00,<$200K,D,209,8,11,1,108
2017-01-18 0:00:00,<$200K,A,692,25,35,3,354
2017-01-18 0:00:00,<$200K,B,346,22,18,1,177
2017-01-18 0:00:00,<$200K,C,138,6,7,1,71
2017-01-18 0:00:00,<$200K,D,207,9,11,1,106
2017-01-19 0:00:00,<$200K,A,704,22,36,2,360
2017-01-19 0:00:00,<$200K,B,352,19,18,1,180
2017-01-19 0:00:00,<$200K,C,141,6,7,0,72
2017-01-19 0:00:00,<$200K,D,211,8,11,1,108
2017-01-20 0:00:00,<$200K,A,711,23,36,2,360
2017-01-20 0:00:00,<$200K,B,355,20,18,1,180
2017-01-20 0:00:00,<$200K,C,142,6,7,0,72
2017-01-20 0:00:00,<$200K,D,213,9,11,1,108
2017-01-21 0:00:00,<$200K,A,701,18,35,2,350
2017-01-21 0:00:00,<$200K,B,351,16,17,1,175
2017-01-21 0:00:00,<$200K,C,140,5,7,0,70
2017-01-21 0:00:00,<$200K,D,210,7,10,0,105
2017-01-22 0:00:00,<$200K,A,689,18,34,2,345
2017-01-22 0:00:00,<$200K,B,344,16,17,1,173
2017-01-22 0:00:00,<$200K,C,138,5,7,0,69
2017-01-22 0:00:00,<$200K,D,207,7,10,0,104
2017-01-23 0:00:00,<$200K,A,676,22,33,2,336
2017-01-23 0:00:00,<$200K,B,338,19,17,1,168
2017-01-23 0:00:00,<$200K,C,135,5,7,0,67
2017-01-23 0:00:00,<$200K,D,203,8,10,1,101
2017-01-24 0:00:00,<$200K,A,671,22,33,2,331
2017-01-24 0:00:00,<$200K,B,335,19,16,1,165
2017-01-24 0:00:00,<$200K,C,134,6,7,0,66
2017-01-24 0:00:00,<$200K,D,201,8,10,1,99
2017-01-25 0:00:00,<$200K,A,678,24,33,2,331
2017-01-25 0:00:00,<$200K,B,339,21,16,1,166
2017-01-25 0:00:00,<$200K,C,136,6,7,0,66
2017-01-25 0:00:00,<$200K,D,203,9,10,1,99
2017-01-26 0:00:00,<$200K,A,686,24,33,2,331
2017-01-26 0:00:00,<$200K,B,343,21,16,1,166
2017-01-26 0:00:00,<$200K,C,137,6,7,0,66
2017-01-26 0:00:00,<$200K,D,206,9,10,1,99
2017-01-27 0:00:00,<$200K,A,691,23,33,2,332
2017-01-27 0:00:00,<$200K,B,345,20,16,1,166
2017-01-27 0:00:00,<$200K,C,138,6,7,0,66
2017-01-27 0:00:00,<$200K,D,207,9,10,1,99
2017-01-28 0:00:00,<$200K,A,683,22,32,2,322
2017-01-28 0:00:00,<$200K,B,342,20,16,1,161
2017-01-28 0:00:00,<$200K,C,137,6,6,0,64
2017-01-28 0:00:00,<$200K,D,205,8,9,1,96
2017-01-29 0:00:00,<$200K,A,675,15,31,2,317
2017-01-29 0:00:00,<$200K,B,337,13,16,1,159
2017-01-29 0:00:00,<$200K,C,135,4,6,0,63
2017-01-29 0:00:00,<$200K,D,202,6,9,0,95
2017-01-30 0:00:00,<$200K,A,657,30,30,3,307
2017-01-30 0:00:00,<$200K,B,328,26,15,1,154
2017-01-30 0:00:00,<$200K,C,131,7,6,1,61
2017-01-30 0:00:00,<$200K,D,197,11,9,1,92
2017-01-31 0:00:00,<$200K,A,652,20,30,2,302
2017-01-31 0:00:00,<$200K,B,326,18,15,1,151
2017-01-31 0:00:00,<$200K,C,130,5,6,0,60
2017-01-31 0:00:00,<$200K,D,196,8,9,0,91
2017-02-01 0:00:00,<$200K,A,661,24,30,2,303
2017-02-01 0:00:00,<$200K,B,330,21,15,1,151
2017-02-01 0:00:00,<$200K,C,132,6,6,0,61
2017-02-01 0:00:00,<$200K,D,198,9,9,1,91
2017-02-02 0:00:00,<$200K,A,668,25,30,2,303
2017-02-02 0:00:00,<$200K,B,334,22,15,1,151
2017-02-02 0:00:00,<$200K,C,134,6,6,0,61
2017-02-02 0:00:00,<$200K,D,200,9,9,1,91
